long,lat,group,csd_code
-80.6261842,43.4797471,3530016_1,3530016
-80.6256313,43.479178000000005,3530016_1,3530016
-80.6250653,43.478726,3530016_1,3530016
-80.62448739999999,43.478192799999995,3530016_1,3530016
-80.62393380000002,43.4777408,3530016_1,3530016
-80.62362639999999,43.477451599999995,3530016_1,3530016
-80.6228027,43.47669260000001,3530016_1,3530016
-80.62218290000001,43.4760961,3530016_1,3530016
-80.6221267,43.476042,3530016_1,3530016
-80.6195814,43.4737915,3530016_1,3530016
-80.6182779,43.472661599999995,3530016_1,3530016
-80.6179088,43.472372199999995,3530016_1,3530016
-80.6173805,43.4718482,3530016_1,3530016
-80.61654419999999,43.47113410000001,3530016_1,3530016
-80.6153028,43.469986399999996,3530016_1,3530016
-80.6146265,43.4694078,3530016_1,3530016
-80.6138521,43.468702900000004,3530016_1,3530016
-80.6131267,43.4680791,3530016_1,3530016
-80.61116,43.4662986,3530016_1,3530016
-80.6109391,43.4660457,3530016_1,3530016
-80.6093653,43.46470769999999,3530016_1,3530016
-80.6072638,43.462791599999996,3530016_1,3530016
-80.60674519999999,43.4623267,3530016_1,3530016
-80.6060839,43.46173399999999,3530016_1,3530016
-80.6050394,43.46077590000001,3530016_1,3530016
-80.6030609,43.4589952,3530016_1,3530016
-80.60104439999999,43.457169199999996,3530016_1,3530016
-80.5996572,43.4559129,3530016_1,3530016
-80.59715059999999,43.453662,3530016_1,3530016
-80.5967441,43.4532904,3530016_1,3530016
-80.5958852,43.452504999999995,3530016_1,3530016
-80.5947673,43.451483499999995,3530016_1,3530016
-80.5929982,43.44989249999999,3530016_1,3530016
-80.59081170000002,43.4478947,3530016_1,3530016
-80.58728649999999,43.4446945,3530016_1,3530016
-80.5867093,43.444161099999995,3530016_1,3530016
-80.58418069999999,43.4418629,3530016_1,3530016
-80.5822451,43.440097,3530016_1,3530016
-80.5815075,43.439424,3530016_1,3530016
-80.5812995,43.4392342,3530016_1,3530016
-80.5810186,43.438977900000005,3530016_1,3530016
-80.5752911,43.433751199999996,3530016_1,3530016
-80.57498059999999,43.433464799999996,3530016_1,3530016
-80.5741038,43.432659900000004,3530016_1,3530016
-80.5658978,43.4351904,3530016_1,3530016
-80.565102,43.4354357,3530016_1,3530016
-80.5650175,43.4354624,3530016_1,3530016
-80.56457189999999,43.435603,3530016_1,3530016
-80.5616904,43.436511800000005,3530016_1,3530016
-80.56028859999999,43.4369543,3530016_1,3530016
-80.5602924,43.43696399999999,3530016_1,3530016
-80.56030799999999,43.437025999999996,3530016_1,3530016
-80.56030059999999,43.43707980000001,3530016_1,3530016
-80.5602692,43.437137899999996,3530016_1,3530016
-80.5602169,43.4371843,3530016_1,3530016
-80.5601642,43.437211700000006,3530016_1,3530016
-80.5601117,43.4372305,3530016_1,3530016
-80.56004759999999,43.4372389,3530016_1,3530016
-80.5599788,43.437238,3530016_1,3530016
-80.5599039,43.437221599999994,3530016_1,3530016
-80.5598353,43.4371879,3530016_1,3530016
-80.55978859999999,43.437150599999995,3530016_1,3530016
-80.5597664,43.4371189,3530016_1,3530016
-80.5595802,43.4371803,3530016_1,3530016
-80.55930579999999,43.437286,3530016_1,3530016
-80.55905039999999,43.4373887,3530016_1,3530016
-80.5582187,43.43767950000001,3530016_1,3530016
-80.5535142,43.439309099999996,3530016_1,3530016
-80.5515941,43.43994989999999,3530016_1,3530016
-80.5490803,43.440669299999996,3530016_1,3530016
-80.54733329999999,43.4412837,3530016_1,3530016
-80.5467999,43.4415607,3530016_1,3530016
-80.54656,43.4417829,3530016_1,3530016
-80.54619009999999,43.442125600000004,3530016_1,3530016
-80.54604049999999,43.4423051,3530016_1,3530016
