long,lat,group
-79.65093399999999,43.22316680000001,1
-79.6511307,43.2231781,1
-79.6513154,43.2231803,1
-79.652301,43.2231558,1
-79.6524979,43.2231582,1
-79.65309,43.2231111,1
-79.65321349999999,43.2230946,1
-79.653386,43.22308760000001,1
-79.6534482,43.2230613,1
-79.6535609,43.2229726,1
-79.6535734,43.2229637,1
-79.65362309999999,43.2229463,1
-79.6541403,43.22294340000001,1
-79.6549891,43.2229804,1
-79.6552952,43.223056,1
-79.6554918,43.22307640000001,1
-79.65587099999999,43.2231889,1
-79.6560676,43.2232092,1
-79.6562386,43.2232742,1
-79.6564717,43.223313,1
-79.6568642,43.2233806,1
-79.6574638,43.2235497,1
-79.6577825,43.223616500000006,1
-79.6581999,43.2236754,1
-79.6588001,43.2238175,1
-79.6590566,43.2239106,1
-79.6593503,43.2239951,1
-79.6599025,43.2240826,1
-79.66012250000001,43.22415720000001,1
-79.66034350000001,43.2241868,1
-79.6604165,43.2242237,1
-79.66044099999999,43.224233,1
-79.66061309999999,43.224244000000006,1
-79.66076029999999,43.2242727,1
-79.6609189,43.2243376,1
-79.6615063,43.2245066,1
-79.66173859999999,43.22458130000001,1
-79.661763,43.2245906,1
-79.6619596,43.224610899999995,1
-79.662143,43.22466710000001,1
-79.66246009999999,43.22480589999999,1
-79.6626563,43.2248442,1
-79.6628398,43.2249004,1
-79.6631446,43.225038999999995,1
-79.6635598,43.2251969,1
-79.6636939,43.225261499999995,1
-79.6646231,43.2255605,1
-79.66509909999999,43.22575520000001,1
-79.66523459999999,43.2257568,1
-79.66531599999999,43.2257612,1
-79.6654436,43.225768200000005,1
-79.6656744,43.225915,1
-79.6662963,43.226192399999995,1
-79.6675017,43.22681870000001,1
-79.6675869,43.22686470000001,1
-79.66789179999999,43.2270033,1
-79.6683537,43.227278899999995,1
-79.66886509999999,43.22754599999999,1
-79.6700197,43.2282437,1
-79.67020149999999,43.2283809,1
-79.6708457,43.2287666,1
-79.6713694,43.2290338,1
-79.6715029,43.22912540000001,1
-79.6720467,43.2295999,1
-79.6727145,43.230039899999994,1
-79.673114,43.230359700000015,1
-79.6735271,43.2306166,1
-79.67374629999999,43.2307273,1
-79.67379600000001,43.23070980000001,1
-79.6739255,43.23066679999999,1
-79.67403159999999,43.2306315,1
-79.6741315,43.230569599999995,1
-79.67426689999999,43.23057120000001,1
-79.67448759999999,43.230618799999995,1
-79.6752577,43.2308798,1
-79.6754639,43.2310263,1
-79.675708,43.2311282,1
-79.67585430000001,43.2311929,1
-79.67604840000001,43.231330199999995,1
-79.6762554,43.2314407,1
-79.6767035,43.231787999999995,1
-79.67692339999999,43.2318716,1
-79.6770457,43.231908999999995,1
-79.6772048,43.2319559,1
-79.6783626,43.232518600000006,1
-79.6785209,43.2326014,1
-79.6785816,43.2326382,1
-79.67908159999999,43.232869099999995,1
-79.6790937,43.232878199999995,1
-79.6798152,43.2331116,1
-79.6798885,43.23313949999999,1
-79.68034039999999,43.2333158,1
-79.6806709,43.2334097,1
-79.68078109999999,43.2334379,1
-79.68093999999999,43.2334938,1
-79.6811601,43.2335684,1
-79.6812333,43.23359619999999,1
-79.6813193,43.2336062,1
-79.68145439999999,43.2336258,1
-79.68207919999999,43.2337771,1
-79.6822641,43.23377019999999,1
-79.6824365,43.233772199999976,1
-79.6828046,43.2338304,1
-79.68291570000001,43.2338227,1
-79.6830149,43.233787799999995,1
